"","Site","Depth","Temp","Sal","Oxy","Fluor"
"60","SPOT",59,10.677,33.4628,174.5575185,0.5214
"61","SPOT",60,10.6616,33.4663,173.5437138,0.4343
"62","SPOT",61,10.597,33.4814,172.3066041,NA
"63","SPOT",62,10.5582,33.492,171.2927994,0.3622
"64","SPOT",63,10.5362,33.499,169.8636474,0.2822
"65","SPOT",64,10.5161,33.5055,169.5197577,0.2542
"66","SPOT",65,10.5033,33.5088,168.8498427,0.1984
"67","SPOT",66,10.4737,33.5171,167.6439957,0.2015
"68","SPOT",67,10.4522,33.5239,166.9919451,0.194
"69","SPOT",68,10.4324,33.531,166.1969793,0.1546
"70","SPOT",69,10.3546,33.5501,164.6740392,0.1355
"71","SPOT",70,10.2827,33.5547,164.933073,0.111
"72","SPOT",71,10.149,33.5418,166.7597079,0.1312
"73","SPOT",72,10.0241,33.5475,168.3451734,0.0942
"74","SPOT",73,10.0084,33.5503,168.0236142,NA
"75","SPOT",74,10.009,33.5522,168.3049785,0.078
"76","SPOT",75,10.0129,33.5567,167.4921483,0.0819
"77","SPOT",76,10.0223,33.5627,165.9915387,0.0507
"78","SPOT",77,10.0725,33.5861,164.2765563,0.0441
"79","SPOT",78,10.0929,33.6039,161.4361167,0.0436
"80","SPOT",79,10.1193,33.6224,159.9221088,0.0422
"81","SPOT",80,10.1378,33.6259,158.1579993,0.0345
"82","SPOT",81,10.1415,33.629,156.8985591,0.0111
"83","SPOT",82,10.1447,33.6331,155.9160171,0.0296
"84","SPOT",83,10.1346,33.6379,155.6614494,0.0232
"85","SPOT",84,10.1259,33.6412,154.9558056,0.011
"86","SPOT",85,10.1207,33.643,154.4913312,0.0058
"87","SPOT",86,10.1035,33.6463,153.8437467,0.0084
"88","SPOT",87,10.0786,33.6571,152.9371284,0.01
"89","SPOT",88,10.0697,33.6641,152.2314846,0.01
"90","SPOT",89,10.0559,33.6732,151.2712731,0.01
"91","SPOT",90,10.036,33.6851,150.4584429,0.01
"92","SPOT",91,10.0079,33.6972,149.4892992,0.01
"93","SPOT",92,9.9811,33.7087,149.0248248,0.009
"94","SPOT",93,9.9784,33.7112,148.3727742,0.008
"95","SPOT",94,9.97,33.724,147.3946983,0.007
"96","SPOT",95,9.9656,33.7343,146.6399274,0.006
"97","SPOT",96,9.9647,33.7397,145.6261227,NA
"98","SPOT",97,9.9605,33.7423,145.0991229,0.004
"99","SPOT",98,9.9579,33.7431,144.2684283,NA
"100","SPOT",99,9.9476,33.7544,142.4953866,0.002
"101","SPOT",100,9.9187,33.8097,139.7130063,0.001
"102","SPOT",101,9.9077,33.8246,137.198592,0
"103","SPOT",102,9.8899,33.8316,136.0909992,0
"104","SPOT",103,9.8807,33.8499,134.652915,0
"105","SPOT",104,9.8739,33.8588,133.3979409,0
"106","SPOT",105,9.8663,33.8679,132.1742295,0
"107","SPOT",106,9.8649,33.8785,131.214018,0
"108","SPOT",107,9.8657,33.8876,129.8965185,NA
"109","SPOT",108,9.8737,33.8959,128.4316377,0
"110","SPOT",109,9.8765,33.9055,126.3995622,0
"111","SPOT",110,9.8991,33.9239,124.112919,0
"112","SPOT",111,9.9052,33.9304,123.1437753,NA
"113","SPOT",112,9.9038,33.9308,122.4291993,0
"114","SPOT",113,9.8914,33.9359,121.3975302,0
"115","SPOT",114,9.8783,33.9409,120.1782849,0
"116","SPOT",115,9.8727,33.9495,118.9947684,0
"117","SPOT",116,9.8816,33.9654,117.1949301,0
"118","SPOT",117,9.8874,33.9723,115.4710155,0
"119","SPOT",118,9.8973,33.9922,112.679703,0
"120","SPOT",119,9.8827,33.9939,112.4340675,0
"121","SPOT",120,9.8635,34.0026,111.2460849,0
"122","SPOT",121,9.8758,34.0207,109.2631365,0
"123","SPOT",122,9.8898,34.0238,107.3069847,0
"124","SPOT",123,9.8932,34.0337,105.489282,0
"125","SPOT",124,9.8935,34.0359,105.1096635,0
"126","SPOT",125,9.8921,34.0373,103.9440114,0
"127","SPOT",126,9.889,34.0385,102.9212745,0
"128","SPOT",127,9.8779,34.0412,102.3406815,0
"129","SPOT",128,9.8699,34.0432,102.3272832,0
"130","SPOT",129,9.8656,34.0445,101.7645546,0
"131","SPOT",130,9.8641,34.045,100.7194872,0
"132","SPOT",131,9.8628,34.0457,100.0227756,0
"133","SPOT",132,9.8624,34.0461,99.504708,0
"134","SPOT",133,9.8584,34.047,99.3394623,0
"135","SPOT",134,9.8528,34.0489,98.656149,0
"136","SPOT",135,9.8342,34.0559,97.5753528,0
"137","SPOT",136,9.8072,34.0676,97.0840818,0
"138","SPOT",137,9.7994,34.0711,96.2980482,0
"139","SPOT",138,9.7875,34.0754,95.5432773,0
"140","SPOT",139,9.7769,34.0797,94.5250065,0
"141","SPOT",140,9.7686,34.0831,94.0649982,0
"142","SPOT",141,9.7607,34.0857,93.4665408,0
"143","SPOT",142,9.7439,34.0872,92.6849733,0
"144","SPOT",143,9.7392,34.0918,92.1311769,NA
"145","SPOT",144,9.7248,34.0992,91.4433975,0
"146","SPOT",146,9.7228,34.1007,90.4295928,NA
"147","SPOT",147,9.7223,34.1011,89.8534659,0
"148","SPOT",148,9.7198,34.1026,89.6480253,0
"149","SPOT",149,9.7168,34.1038,89.0049069,0
"150","SPOT",150,9.7138,34.1064,88.4913054,0
"151","SPOT",151,9.7064,34.1081,88.0000344,0
"152","SPOT",152,9.6986,34.1114,87.3479838,0
"153","SPOT",153,9.7024,34.1138,87.222933,0
"154","SPOT",154,9.706,34.1156,86.1108741,0
"155","SPOT",155,9.6975,34.1161,86.19573,0
"156","SPOT",156,9.686,34.1161,85.6419336,0
"157","SPOT",157,9.6744,34.1169,85.7803827,0
"158","SPOT",158,9.6668,34.1143,85.5302811,NA
"159","SPOT",159,9.6519,34.113,85.8071793,0
"160","SPOT",160,9.6347,34.1124,85.8071793,0
"161","SPOT",161,9.6093,34.1096,85.257849,0
"162","SPOT",162,9.5946,34.1115,85.1819253,0
"163","SPOT",163,9.5602,34.1086,85.0524084,0
"164","SPOT",164,9.4957,34.1065,85.1060016,0
"165","SPOT",165,9.4866,34.1057,85.1774592,NA
"166","SPOT",166,9.4734,34.1061,84.7621119,0
"167","SPOT",167,9.4806,34.1103,84.4316205,NA
"168","SPOT",168,9.5046,34.1243,83.248104,0
"169","SPOT",169,9.5151,34.1268,82.7746974,NA
"170","SPOT",170,9.5129,34.1282,82.0645875,0
"171","SPOT",171,9.512,34.1297,81.7162317,0
"172","SPOT",172,9.5096,34.13,81.5152572,NA
"173","SPOT",173,9.4848,34.1277,81.3857403,NA
"174","SPOT",174,9.4656,34.1304,81.238359,0
"175","SPOT",175,9.4531,34.1324,80.6890287,0
"176","SPOT",176,9.4441,34.135,80.1888255,0
"177","SPOT",177,9.4459,34.14,79.8181392,NA
"178","SPOT",178,9.447,34.142,79.2866733,0
"179","SPOT",179,9.4476,34.1433,79.0142412,NA
"180","SPOT",180,9.4506,34.146,78.5319024,NA
"181","SPOT",181,9.4526,34.15,78.0540297,NA
"182","SPOT",182,9.4479,34.1557,77.2679961,0
"183","SPOT",183,9.4391,34.1595,76.7141997,0
"184","SPOT",184,9.4295,34.1602,76.3077846,0
"185","SPOT",185,9.4283,34.1623,75.8835051,0
"186","SPOT",186,9.4324,34.1646,75.7941831,0
"187","SPOT",187,9.4361,34.1664,75.2180562,NA
"188","SPOT",188,9.4396,34.1749,74.2221159,0
"189","SPOT",189,9.4356,34.1828,73.3914213,0
"190","SPOT",190,9.408,34.1827,72.976074,0
"191","SPOT",191,9.3896,34.1883,71.9533371,0
"192","SPOT",192,9.4092,34.1991,70.8904053,0
"193","SPOT",193,9.3918,34.1998,70.3902021,0
"194","SPOT",194,9.3757,34.2022,69.626499,NA
"195","SPOT",195,9.3752,34.2015,69.2736771,0
"196","SPOT",196,9.3745,34.2022,69.1173636,0
"197","SPOT",197,9.3736,34.2023,69.0727026,0
"198","SPOT",198,9.3743,34.203,68.4474486,0
"199","SPOT",199,9.3763,34.2035,68.1392877,0
"200","SPOT",200,9.3824,34.2071,67.7150082,0
"201","SPOT",201,9.3829,34.2087,67.5363642,0
"202","SPOT",202,9.3784,34.2087,67.0718898,0
"203","SPOT",203,9.3751,34.211,66.5984832,0
"204","SPOT",204,9.3706,34.2114,66.0804156,0
"205","SPOT",205,9.3639,34.2113,66.1920681,NA
"206","SPOT",206,9.3528,34.2107,65.8615767,0
"207","SPOT",207,9.3384,34.211,65.6382717,NA
"208","SPOT",208,9.3253,34.2128,65.3167125,0
"209","SPOT",209,9.319,34.2136,64.7852466,0
"210","SPOT",210,9.3127,34.215,64.8254415,0
"211","SPOT",211,9.3103,34.2146,64.3966959,0
"212","SPOT",212,9.3093,34.2162,64.0974672,NA
"213","SPOT",213,9.3088,34.216,63.9858147,0
"214","SPOT",214,9.305,34.2158,63.9188232,0
"215","SPOT",215,9.2995,34.2166,63.6821199,NA
"216","SPOT",216,9.2901,34.2193,63.1729845,0
"217","SPOT",217,9.2477,34.2203,62.97201,0
"218","SPOT",218,9.2383,34.2227,62.8648236,NA
"219","SPOT",219,9.2316,34.2217,62.5075356,NA
"220","SPOT",220,9.2368,34.2213,62.3869509,0
"221","SPOT",221,9.2162,34.2194,62.3378238,0
"222","SPOT",222,9.2071,34.2169,62.4673407,NA
"223","SPOT",223,9.1974,34.2173,62.4539424,0
"224","SPOT",224,9.1786,34.2156,62.659383,NA
"225","SPOT",225,9.1708,34.2159,62.3288916,0
"226","SPOT",226,9.1692,34.2176,62.2172391,NA
"227","SPOT",227,9.1778,34.2205,61.7706291,0
"228","SPOT",228,9.1914,34.2263,61.0649853,0
"229","SPOT",229,9.2041,34.2303,60.6362397,NA
"230","SPOT",230,9.1994,34.2314,60.1003077,NA
"231","SPOT",231,9.179,34.2297,60.2521551,0
"232","SPOT",232,9.1599,34.2262,60.0288501,0
"233","SPOT",233,9.1515,34.2286,59.9841891,NA
"234","SPOT",234,9.1629,34.2321,59.488452,0
"235","SPOT",235,9.1583,34.2328,59.1668928,0
"236","SPOT",236,9.1511,34.234,59.0507742,0
"237","SPOT",237,9.1476,34.2336,58.9748505,0
"238","SPOT",238,9.1369,34.2333,58.9301895,0
"239","SPOT",239,9.0709,34.219,59.8636044,0
"240","SPOT",240,9.0283,34.2161,60.4040025,0
"241","SPOT",241,9.0184,34.2149,60.9131379,0
"242","SPOT",242,9.0039,34.2138,60.8506125,NA
"243","SPOT",243,9.0077,34.2153,60.6898329,0
"244","SPOT",244,8.9882,34.215,60.6451719,NA
"245","SPOT",245,8.9829,34.2161,60.7523583,0
"246","SPOT",246,8.9793,34.2176,60.4486635,0
"247","SPOT",247,8.9805,34.2181,60.3548754,0
"248","SPOT",248,8.9779,34.2188,60.1628331,0
"249","SPOT",249,8.978,34.2193,60.0735111,0
"250","SPOT",250,8.978,34.2195,60.0913755,0
"251","SPOT",251,8.9783,34.2198,59.7966129,0
"252","SPOT",252,8.9798,34.221,59.9707908,NA
"253","SPOT",253,8.9789,34.2215,59.8144773,0
"254","SPOT",254,8.9804,34.2227,59.4839859,0
"255","SPOT",255,8.9799,34.2235,59.3366046,NA
"256","SPOT",256,8.9777,34.2234,59.3767995,0
"257","SPOT",257,8.9757,34.2227,59.3500029,0
"258","SPOT",258,8.9673,34.2212,59.3410707,0
"259","SPOT",259,8.9645,34.2211,59.1266979,0
"260","SPOT",260,8.9632,34.2208,59.6715621,0
"261","SPOT",261,8.9565,34.2202,59.2294182,0
"262","SPOT",262,8.9557,34.2215,59.2026216,0
"263","SPOT",263,8.9473,34.2194,59.8323417,NA
"264","SPOT",264,8.9455,34.2207,59.131164,0
"265","SPOT",265,8.9477,34.2211,59.0284437,0
"266","SPOT",266,8.9486,34.2215,58.7962065,NA
"267","SPOT",267,8.9697,34.236,57.8985204,0
"268","SPOT",268,9.0115,34.2441,56.4336396,0
"269","SPOT",269,9.016,34.2448,55.9646991,0
"270","SPOT",270,9.0162,34.2447,55.9021737,0
"271","SPOT",271,9.0164,34.2466,55.334979,0
"272","SPOT",272,9.0186,34.249,54.5802081,NA
"273","SPOT",273,9.0178,34.2513,54.5802081,0
"274","SPOT",274,9.0153,34.2536,54.2318523,0
"275","SPOT",275,9.0024,34.2552,53.6333949,0
"276","SPOT",276,8.9836,34.2544,53.2850391,0
"277","SPOT",277,8.9745,34.2547,53.2046493,0
"278","SPOT",278,8.9719,34.2548,52.8384291,0
"279","SPOT",279,8.9713,34.2546,52.9858104,NA
"280","SPOT",280,8.9647,34.2535,53.2493103,0
"281","SPOT",281,8.9544,34.2536,52.3962852,0
"282","SPOT",282,8.9447,34.2535,52.5481326,0
"283","SPOT",283,8.9235,34.2501,52.7848359,NA
"284","SPOT",284,8.8951,34.2498,52.3694886,0
"285","SPOT",285,8.889,34.2503,52.3248276,0
"286","SPOT",286,8.8877,34.2497,52.0881243,0
"287","SPOT",287,8.8837,34.2504,52.0657938,0
"288","SPOT",288,8.8816,34.2513,51.8380227,0
"289","SPOT",289,8.8806,34.2512,51.762099,0
"290","SPOT",290,8.8766,34.2511,51.7040397,0
"291","SPOT",291,8.8735,34.2511,51.8156922,0
"292","SPOT",292,8.8687,34.2501,51.6951075,0
"293","SPOT",293,8.8453,34.2459,51.8871498,0
"294","SPOT",294,8.7934,34.2362,52.4007513,0
"295","SPOT",295,8.7543,34.2337,52.8920223,0
"296","SPOT",296,8.7284,34.231,53.2001832,0
"297","SPOT",297,8.7392,34.2352,52.9322172,0
"298","SPOT",298,8.7384,34.2353,53.0617341,NA
"299","SPOT",299,8.7166,34.233,52.7267766,0
"300","SPOT",300,8.695,34.2314,53.0974629,0
"301","SPOT",301,8.6743,34.2292,53.3966916,0
"302","SPOT",302,8.6518,34.2278,53.4860136,0
"303","SPOT",303,8.6495,34.2298,53.1197934,0
"304","SPOT",304,8.647,34.2296,53.5128102,0
"305","SPOT",305,8.6345,34.228,53.5574712,0
"306","SPOT",306,8.6147,34.2263,53.4279543,NA
"307","SPOT",307,8.6034,34.2279,53.6601915,0
"308","SPOT",308,8.5993,34.2281,53.4100899,NA
"309","SPOT",309,8.5924,34.2284,53.2939713,0
"310","SPOT",310,8.6003,34.2347,52.9322172,NA
"311","SPOT",311,8.5916,34.2336,52.4856072,0
"312","SPOT",312,8.58,34.2318,52.655319,0
"313","SPOT",313,8.5677,34.2318,52.387353,0
"314","SPOT",314,8.5887,34.2419,51.5968533,0
"315","SPOT",315,8.6393,34.2554,50.5205232,0
"316","SPOT",316,8.6552,34.2623,49.5022524,NA
"317","SPOT",317,8.6569,34.2646,49.0601085,0
"318","SPOT",318,8.658,34.266,48.4661172,NA
"319","SPOT",319,8.6465,34.2649,48.1668885,0
"320","SPOT",320,8.6349,34.2646,48.1356258,NA
"321","SPOT",321,8.626,34.2638,47.9435835,NA
"322","SPOT",322,8.5992,34.2627,47.7381429,0
"323","SPOT",323,8.5887,34.2625,47.563965,0
"324","SPOT",324,8.5789,34.2622,47.653287,0
"325","SPOT",325,8.5601,34.2579,47.653287,0
"326","SPOT",326,8.4906,34.2506,48.0373716,0
"327","SPOT",327,8.3864,34.2369,47.8587276,0
"328","SPOT",328,8.3414,34.242,48.6001002,NA
"329","SPOT",329,8.336,34.242,48.2517444,0
"330","SPOT",330,8.3264,34.2411,48.0597021,0
"331","SPOT",331,8.3191,34.2409,48.3723291,0
"332","SPOT",332,8.3209,34.2414,48.2204817,0
"333","SPOT",333,8.3025,34.2375,48.2517444,0
"334","SPOT",334,8.283,34.2359,48.4303884,0
"335","SPOT",335,8.2779,34.2368,48.1534902,0
"336","SPOT",336,8.2719,34.2354,48.367863,0
"337","SPOT",337,8.2429,34.2312,48.2606766,0
"338","SPOT",338,8.2226,34.2317,48.3767952,0
"339","SPOT",339,8.213,34.2324,48.4527189,0
"340","SPOT",340,8.2085,34.2336,48.0775665,NA
"341","SPOT",341,8.2044,34.2349,47.9837784,0
"342","SPOT",342,8.1994,34.2371,47.831931,0
"343","SPOT",343,8.1923,34.2382,47.6264904,0
"344","SPOT",344,8.1885,34.2385,46.983372,0
"345","SPOT",345,8.1831,34.2384,47.2200753,NA
"346","SPOT",346,8.1777,34.2386,47.1396855,NA
"347","SPOT",347,8.1769,34.24,46.8985161,0
"348","SPOT",348,8.1697,34.2394,46.6662789,0
"349","SPOT",349,8.1507,34.2432,46.4340417,0
"350","SPOT",350,8.1363,34.2448,45.6703386,0
"351","SPOT",351,8.1255,34.2442,45.8713131,0
"352","SPOT",352,8.1181,34.2439,45.6346098,0
"353","SPOT",353,8.1072,34.2424,45.8132538,NA
"354","SPOT",354,8.0882,34.2381,45.4693641,NA
"355","SPOT",355,8.0748,34.2389,45.7551945,0
"356","SPOT",356,8.0658,34.2393,45.4827624,NA
"357","SPOT",357,8.0633,34.2418,45.1567371,0
"358","SPOT",358,8.0697,34.2456,44.6967288,NA
"359","SPOT",359,8.0774,34.2489,44.5448814,0
"360","SPOT",360,8.0782,34.2509,43.9419579,NA
"361","SPOT",361,8.0853,34.2561,43.1648565,0
"362","SPOT",362,8.109,34.265,42.7182465,0
"363","SPOT",363,8.1291,34.2727,42.0617298,NA
"364","SPOT",364,8.1479,34.2772,41.5704588,0
"365","SPOT",365,8.1628,34.2845,40.1725695,NA
"366","SPOT",366,8.1224,34.28,40.1100441,0
"367","SPOT",367,8.1009,34.2794,39.971595,NA
"368","SPOT",368,8.0805,34.2753,39.8152815,0
"369","SPOT",369,8.0411,34.2745,39.6991629,0
"370","SPOT",370,8.0351,34.2756,39.4177986,0
"371","SPOT",371,8.034,34.2775,38.9845869,NA
"372","SPOT",372,8.0275,34.2763,39.2480868,0
"373","SPOT",373,8.0162,34.2761,38.9577903,NA
"374","SPOT",374,7.983,34.2747,38.4307905,0
"375","SPOT",375,7.9751,34.2756,38.453121,0
"376","SPOT",376,7.9731,34.2755,38.2655448,NA
"377","SPOT",377,7.9709,34.2757,38.0377737,0
"378","SPOT",378,7.9699,34.2756,38.5022481,0
"379","SPOT",379,7.9655,34.2747,37.559901,0
"380","SPOT",380,7.9391,34.2732,37.7653416,0
"381","SPOT",381,7.9213,34.2739,37.5822315,0
"382","SPOT",382,7.9199,34.2742,37.3633926,0
"383","SPOT",383,7.9133,34.2739,37.3321299,0
"384","SPOT",384,7.911,34.2739,37.1713503,0
"385","SPOT",385,7.9089,34.2742,37.202613,NA
"386","SPOT",386,7.904,34.273,37.3901892,0
"387","SPOT",387,7.883,34.2695,37.1936808,0
"388","SPOT",388,7.8471,34.2701,36.800664,0
"389","SPOT",389,7.8407,34.2711,36.7604691,0
"390","SPOT",390,7.836,34.2705,36.9167826,0
"391","SPOT",391,7.8337,34.2704,36.7961979,NA
"392","SPOT",392,7.8069,34.2686,36.4299777,0
"393","SPOT",393,7.7729,34.2652,36.5505624,0
"394","SPOT",394,7.736,34.2659,36.2245371,NA
"395","SPOT",395,7.7254,34.2668,36.2334693,0
"396","SPOT",396,7.7173,34.2661,35.9699694,0
"397","SPOT",397,7.698,34.265,35.9699694,0
"398","SPOT",398,7.692,34.2652,36.1396812,0
"399","SPOT",399,7.6891,34.2654,35.8136559,0
"400","SPOT",400,7.6834,34.2641,35.996766,0
"401","SPOT",401,7.6682,34.2624,35.6796729,NA
"402","SPOT",402,7.6524,34.262,35.8806474,0
"403","SPOT",403,7.646,34.2608,35.7020034,NA
"404","SPOT",404,7.6449,34.2626,35.505495,0
"405","SPOT",405,7.6423,34.2624,35.6528763,0
"406","SPOT",406,7.6447,34.2637,35.3893764,0
"407","SPOT",407,7.6462,34.2637,35.2464612,0
"408","SPOT",408,7.6479,34.2646,35.3893764,NA
"409","SPOT",409,7.6497,34.2648,35.2911222,0
"410","SPOT",410,7.6393,34.2642,35.0990799,NA
"411","SPOT",411,7.6237,34.2636,34.9606308,0
"412","SPOT",412,7.6129,34.2643,34.8981054,NA
"413","SPOT",413,7.6093,34.2643,34.6926648,0
"414","SPOT",414,7.6048,34.2641,34.7283936,NA
"415","SPOT",415,7.6015,34.264,34.6212072,0
"416","SPOT",416,7.6002,34.2641,34.8266478,0
"417","SPOT",417,7.5979,34.2638,34.3845039,0
"418","SPOT",418,7.5817,34.2618,34.4202327,NA
"419","SPOT",419,7.5614,34.2629,34.3487751,NA
"420","SPOT",420,7.5592,34.2628,34.4738259,NA
"421","SPOT",421,7.5576,34.2623,34.1031396,0
"422","SPOT",422,7.5505,34.2612,34.433631,NA
"423","SPOT",423,7.5421,34.2605,34.433631,0
"424","SPOT",424,7.5274,34.2601,34.1120718,0
"425","SPOT",425,7.5061,34.2583,34.165665,0
"426","SPOT",426,7.4591,34.2582,33.8128431,0
"427","SPOT",427,7.4471,34.259,33.8798346,0
"428","SPOT",428,7.4435,34.259,33.763716,NA
"429","SPOT",429,7.4348,34.2592,33.6520635,0
"430","SPOT",430,7.4244,34.2591,33.6833262,NA
"431","SPOT",431,7.4077,34.2581,33.2456484,0
"432","SPOT",432,7.4002,34.2588,33.3885636,NA
"433","SPOT",433,7.3855,34.2576,33.361767,0
"434","SPOT",434,7.3775,34.2579,33.272445,0
"435","SPOT",435,7.3537,34.2559,33.2858433,0
"436","SPOT",436,7.3307,34.2585,33.0312756,0
"437","SPOT",437,7.327,34.259,32.8436994,0
"438","SPOT",438,7.3269,34.2596,32.7409791,NA
"439","SPOT",439,7.3276,34.2597,32.3747589,0
"440","SPOT",440,7.327,34.2598,32.4417504,NA
"441","SPOT",441,7.3268,34.2598,32.7275808,0
"442","SPOT",442,7.3265,34.26,32.3479623,NA
"443","SPOT",443,7.3251,34.2604,32.3970894,0
"444","SPOT",444,7.3248,34.2603,32.2631064,0
"445","SPOT",445,7.3201,34.2603,32.2765047,0
"446","SPOT",446,7.288,34.2584,32.2720386,0
"447","SPOT",447,7.2298,34.2595,31.7718354,0
"448","SPOT",448,7.1931,34.2595,31.6155219,0
"449","SPOT",449,7.1648,34.255,31.5351321,NA
"450","SPOT",450,7.1256,34.2575,31.2984288,NA
"451","SPOT",451,7.1059,34.2589,30.9858018,0
"452","SPOT",452,7.1005,34.2589,31.4234796,NA
"453","SPOT",453,7.0838,34.2576,30.8964798,0
"454","SPOT",454,7.0625,34.2585,30.5749206,0
"455","SPOT",455,7.0469,34.259,30.5079291,0
"456","SPOT",456,7.0407,34.2597,30.5213274,0
"457","SPOT",457,7.0322,34.2598,30.2667597,NA
"458","SPOT",458,7.0245,34.2608,30.1238445,0
"459","SPOT",459,7.0226,34.2611,30.0434547,NA
"460","SPOT",460,7.0197,34.2612,30.1104462,NA
"461","SPOT",461,7.0147,34.2614,29.6772345,NA
"462","SPOT",462,7.0101,34.262,29.520921,0
"463","SPOT",463,7.0016,34.2622,29.699565,0
"464","SPOT",464,6.9971,34.2628,29.6459718,0
"465","SPOT",465,6.9908,34.2627,29.3690736,0
"466","SPOT",466,6.9835,34.2636,29.074311,NA
"467","SPOT",467,6.9724,34.2641,28.8822687,0
"468","SPOT",468,6.9644,34.2646,28.761684,NA
"469","SPOT",469,6.9387,34.2667,28.6455654,0
"470","SPOT",470,6.9187,34.2687,28.3463367,NA
"471","SPOT",471,6.8993,34.2693,27.957786,0
"472","SPOT",472,6.879,34.272,27.7210827,0
"473","SPOT",473,6.8629,34.2707,27.9801165,0
"474","SPOT",474,6.8338,34.2736,27.5335065,NA
"475","SPOT",475,6.8142,34.2758,27.0868965,NA
"476","SPOT",476,6.8094,34.2761,26.7787356,0
"477","SPOT",477,6.8048,34.2755,26.6938797,NA
"478","SPOT",478,6.7819,34.276,26.7564051,NA
"479","SPOT",479,6.76,34.2783,26.528634,0
"480","SPOT",480,6.7343,34.2792,25.9971681,NA
"481","SPOT",481,6.7239,34.2803,25.9882359,0
"482","SPOT",482,6.721,34.2807,25.814058,0
"483","SPOT",483,6.7174,34.2808,25.6622106,NA
"484","SPOT",484,6.7137,34.2814,25.6845411,0
"485","SPOT",485,6.7081,34.2816,25.3495836,0
"486","SPOT",486,6.7037,34.2822,25.3808463,NA
"487","SPOT",487,6.6961,34.2824,25.188804,0
"488","SPOT",488,6.6912,34.2826,24.8136516,0
"489","SPOT",489,6.6851,34.2828,24.9967617,0
"490","SPOT",490,6.6836,34.2828,24.6930669,0
"491","SPOT",491,6.6803,34.283,24.7153974,0
